image_name,crack_1,crack_2,crack_3
06001.JPG,none,none,none
06002.JPG,none,long,long
06003.JPG,none,none,none
06004.JPG,none,none,none
06005.JPG,none,none,none
06006.JPG,none,none,none
06007.JPG,long,long,none
06008.JPG,none,none,none
06009.JPG,none,none,none
06010.JPG,none,none,none
06011.JPG,none,none,none
06012.JPG,none,none,none
06013.JPG,none,none,none
06014.JPG,long,long,long
06015.JPG,croc,none,none
06016.JPG,croc,diag,croc
06017.JPG,none,none,none
06018.JPG,none,none,none
06019.JPG,croc,none,none
06020.JPG,none,none,none
06021.JPG,long,none,none
06022.JPG,none,none,none
06023.JPG,none,long,croc
06024.JPG,long,long,none
06025.JPG,none,long,long
06026.JPG,croc,croc,croc
06027.JPG,none,croc,long
06028.JPG,none,none,none
06029.JPG,croc,croc,croc
06030.JPG,none,none,none
06031.JPG,none,none,croc
06032.JPG,none,none,none
06033.JPG,long,none,none
06034.JPG,long,none,none
06035.JPG,croc,none,long
06036.JPG,none,none,none
06037.JPG,none,none,long
06038.JPG,none,none,diag
06039.JPG,none,none,none
06040.JPG,none,none,none
06041.JPG,none,none,none
06042.JPG,none,none,none
06043.JPG,long,long,long
06044.JPG,none,none,none
06045.JPG,long,long,long
06046.JPG,none,none,none
06047.JPG,none,none,none
06048.JPG,long,long,none
06049.JPG,none,none,none
06050.JPG,none,none,none
06051.JPG,none,none,none
06052.JPG,none,none,none
06053.JPG,long,long,none
06054.JPG,croc,croc,long
06055.JPG,none,none,none
06056.JPG,none,none,none
06057.JPG,none,none,none
06058.JPG,none,long,long
06059.JPG,none,croc,croc
06060.JPG,none,none,none
06061.JPG,none,none,none
06062.JPG,none,none,none
06063.JPG,croc,croc,croc
06064.JPG,none,none,none
06065.JPG,none,none,none
06066.JPG,croc,croc,croc
06067.JPG,none,none,none
06068.JPG,diag,none,none
06069.JPG,none,none,diag
06070.JPG,none,none,none
06071.JPG,none,none,none
06072.JPG,none,none,none
06073.JPG,none,none,none
06074.JPG,none,none,none
06075.JPG,none,none,none
06076.JPG,none,none,none
06077.JPG,none,none,croc
06078.JPG,none,none,none
06079.JPG,none,none,none
06080.JPG,none,none,none
06081.JPG,none,none,none
06082.JPG,none,none,none
06083.JPG,none,none,none
06084.JPG,croc,croc,croc
06085.JPG,none,none,none
06086.JPG,none,none,none
06087.JPG,none,none,none
06088.JPG,none,none,none
06089.JPG,none,none,none
06090.JPG,none,none,none
06091.JPG,croc,none,croc
06092.JPG,none,none,none
06093.JPG,none,none,none
06094.JPG,none,none,none
06095.JPG,long,croc,none
06096.JPG,croc,croc,croc
06097.JPG,none,none,none
06098.JPG,none,none,none
06099.JPG,long,long,long
06100.JPG,none,none,none
06101.JPG,none,none,none
06102.JPG,none,none,none
06103.JPG,croc,croc,croc
06104.JPG,none,none,none
06105.JPG,croc,croc,croc
06106.JPG,none,croc,none
06107.JPG,none,none,none
06108.JPG,none,none,none
06109.JPG,none,none,none
06110.JPG,none,long,long
06111.JPG,long,none,long
06112.JPG,none,none,none
06113.JPG,none,none,none
06114.JPG,none,none,none
06115.JPG,none,none,none
06116.JPG,none,none,none
06117.JPG,none,long,none
06118.JPG,none,none,none
06119.JPG,none,none,none
06120.JPG,none,none,none
06121.JPG,none,none,none
06122.JPG,croc,croc,none
06123.JPG,none,none,none
06124.JPG,none,none,none
06125.JPG,none,none,none
06126.JPG,none,none,none
06127.JPG,diag,none,none
06128.JPG,none,none,none
06129.JPG,none,none,none
06130.JPG,none,none,none
06131.JPG,none,none,none
06132.JPG,none,none,none
06133.JPG,none,none,none
06134.JPG,none,none,none
06135.JPG,none,none,none
06136.JPG,croc,none,croc
06137.JPG,none,none,none
06138.JPG,none,none,none
06139.JPG,long,none,none
06140.JPG,none,lat,long
06141.JPG,none,none,lat
06142.JPG,none,none,none
06143.JPG,croc,croc,croc
06144.JPG,none,none,none
06145.JPG,none,none,none
06146.JPG,none,none,long
06147.JPG,none,none,none
06148.JPG,none,none,diag
06149.JPG,none,none,none
06150.JPG,none,none,none
06151.JPG,none,none,none
06152.JPG,none,none,none
06153.JPG,none,none,none
06154.JPG,none,none,none
06155.JPG,none,none,long
06156.JPG,none,none,none
06157.JPG,none,none,none
06158.JPG,none,none,none
06159.JPG,none,none,none
06160.JPG,long,long,long
06161.JPG,none,none,none
06162.JPG,none,none,none
06163.JPG,none,none,none
06164.JPG,lat,none,none
06165.JPG,croc,croc,croc
06166.JPG,croc,none,none
06167.JPG,croc,croc,croc
06168.JPG,none,none,none
06169.JPG,none,none,none
06170.JPG,none,none,none
06171.JPG,long,long,none
06172.JPG,none,none,none
06173.JPG,none,none,none
06174.JPG,croc,croc,croc
06175.JPG,none,none,none
06176.JPG,long,long,long
06177.JPG,none,none,none
06178.JPG,none,long,none
06179.JPG,none,none,none
06180.JPG,none,none,none
06181.JPG,none,croc,croc
06182.JPG,none,none,croc
06183.JPG,none,none,none
06184.JPG,croc,croc,none
06185.JPG,croc,croc,croc
06186.JPG,none,none,none
06187.JPG,none,none,none
06188.JPG,none,none,none
06189.JPG,none,none,none
06190.JPG,none,none,none
06191.JPG,none,none,none
