image_name,crack_1,crack_2,crack_3,Latitude,Longitude,Date,Crack or not
00001.JPG,long,long,long,-37.7483885677222,144.7017279969440,2017/1/31,crack
00002.JPG,none,none,none,-37.7476039517777,144.7013818920270,2017/1/31,none
00003.JPG,none,none,none,-37.7470708497222,144.7009730729720,2017/1/31,none
00004.JPG,none,none,none,-37.7476554680000,144.7014763493880,2017/1/31,none
00005.JPG,long,long,long,-37.7484738635555,144.7017686596660,2017/1/31,crack
00006.JPG,none,none,none,-37.7472357721666,144.7010658056380,2017/1/31,none
00007.JPG,none,long,long,-37.7480360766944,144.7016968883610,2017/1/31,crack
00008.JPG,long,long,none,-37.7483017107500,144.7016958938050,2017/1/31,crack
00009.JPG,long,long,diag,-37.7475432678333,144.7012992146380,2017/1/31,crack
00010.JPG,none,none,none,-37.7474723543055,144.7012306781380,2017/1/31,none
00011.JPG,none,none,none,-37.7482131374166,144.7016783386380,2017/1/31,none
00012.JPG,none,none,none,-37.7471538078611,144.7010181171940,2017/1/31,none
00013.JPG,none,none,none,-37.7481242288055,144.7016794935830,2017/1/31,none
00014.JPG,none,none,lat,-37.7486419056111,144.7018573661380,2017/1/31,crack
00015.JPG,none,none,none,-37.7477732042222,144.7016544349720,2017/1/31,none
00016.JPG,none,none,none,-37.7477078077500,144.7015725381660,2017/1/31,none
00017.JPG,none,none,long,-37.7485581279166,144.7018133601380,2017/1/31,crack
00018.JPG,none,none,none,-37.7478561462777,144.7017042993610,2017/1/31,none
00019.JPG,none,none,none,-37.7473955356111,144.7011716030830,2017/1/31,none
00020.JPG,long,none,none,-37.7479470229166,144.7017133481940,2017/1/31,none
00021.JPG,none,none,none,-37.7473163948333,144.7011168394440,2017/1/31,none
00022.JPG,none,none,none,-37.8928418337777,144.6825452188880,2017/1/31,none
00023.JPG,none,none,none,-37.8923879617222,144.6835248939440,2017/1/31,none
00024.JPG,none,none,none,-37.8911147121388,144.6862682866660,2017/1/31,none
00025.JPG,none,croc,croc,-37.8906604596666,144.6872477226940,2017/1/31,crack
00026.JPG,none,none,none,-37.9008180460833,144.6652907039440,2017/1/31,none
00027.JPG,none,long,long,-37.9003979583611,144.6662929910830,2017/1/31,crack
00028.JPG,none,none,none,-37.8858457463055,144.6976337928050,2017/1/31,none
00029.JPG,none,none,none,-37.8884821661388,144.6919469286380,2017/1/31,none
00030.JPG,none,none,none,-37.8862998082222,144.6966517870000,2017/1/31,
00031.JPG,none,none,none,-37.8880254938888,144.6929266309440,2017/1/31,
00032.JPG,none,none,none,-37.8954646230555,144.6768518846660,2017/1/31,
00033.JPG,none,none,none,-37.8950219409444,144.6778386768880,2017/1/31,
00034.JPG,none,none,none,-37.8873913311388,144.6943005070270,2017/1/31,
00035.JPG,none,none,none,-37.8869376310555,144.6952808556380,2017/1/31,
00036.JPG,none,none,none,-37.8845771475555,144.7002519962500,2017/1/31,
00037.JPG,none,none,none,-37.8841120401944,144.7012210136660,2017/1/31,
00038.JPG,none,none,none,-37.8992443949166,144.6687287427220,2017/1/31,
00039.JPG,lat,none,none,-37.8987900842500,144.6697097026660,2017/1/31,
00040.JPG,none,none,none,-37.8984273556944,144.6704940710830,2017/1/31,
